Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
"Apple iPhone 5C with Jabra Voice Easyvoice Bluetooth Headset (Green, 8GB)",,APPLEACC,Audio,,"8MP primary camera with LED flash, auto focus, geo tagging, face detection, 1.2MP front facing camera with HD video recording and backside illumination sensor4-inch multi-touch retina display with 1136 x 640 pixels resolutioniOS 7 operating system with 8GB internal memoryRechargable battery providing talk-time up to 10 hours on 3G network and standby time up to 250 hours1 year manufacturer warranty for device and in-box accessories including batteries from the date of purchase",BIZID002
"Apple iPhone 5C with Jabra Voice Easyvoice Bluetooth Headset (Pink, 8GB)",,APPLEACC,Audio,,"8MP primary camera with LED flash, auto focus, geo tagging, face detection, 1.2MP front facing camera with HD video recording and backside illumination sensor4-inch multi-touch retina display with 1136 x 640 pixels resolutioniOS 7 operating system with 8GB internal memoryRechargable battery providing talk-time up to 10 hours on 3G network and standby time up to 250 hours1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",BIZID003
"Apple iPhone 5C with Jabra Voice Easyvoice Bluetooth Headset (Yellow, 8GB)",,APPLEACC,Audio,,"8MP primary camera with LED flash, auto focus, geo tagging, face detection, 1.2MP front facing camera with HD video recording and backside illumination sensor4-inch multi-touch retina display with 1136 x 640 pixels resolutioniOS 7 operating system with 8GB internal memoryRechargable battery providing talk-time up to 10 hours on 3G network and standby time up to 250 hours1 year manufacturer warranty for device and in-box accessories including batteries from the date of purchase",BIZID004
Audio Technica ATH- SJ 11 On-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 15-22,000 hertzOutput sound of 104 decibels per megawattsMaximum input power of 100 megawattsImpedance of 32 ohms",BIZID005
Audio Technica ATH- SJ 11 On-Ear Headphone (Black/Green),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 15-22,000 hertzOutput sound of 104 decibels per megawattsMaximum input power of 100 megawattsImpedance of 32 ohms",BIZID006
Audio Technica ATH- SJ 11 On-Ear Headphone (White),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 15-22,000 hertzOutput sound of 104 decibels per megawattsMaximum input power of 100 megawattsImpedance of 32 ohms",BIZID007
Audio Technica ATH- SJ 33 On-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 10-23,000 hertzOutput sound of 103 decibels per megawattsMaximum input power of 500 megawattsImpedance of 48 ohms",BIZID001
Audio Technica ATH- SJ 33 On-Ear Headphone (White),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 10-23,000 hertzOutput sound of 103 decibels per megawattsMaximum input power of 500 megawattsImpedance of 48 ohms",BIZID002
Audio Technica ATH- SJ 55 On-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 8-25,000 hertzSensitivity of 104 of decibals per megawattsMaximum input power of 800 megawattsImpedance of 48 ohms",BIZID003
Audio Technica ATH- SJ 55 On-Ear Headphone (White),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 8-25,000 hertzOutput sound of 104 decibels per megawattsMaximum input power of 800 megawattsImpedance of 48 ohms",BIZID004
Audio Technica ATH-CKF303 In-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 20-20,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 40 megawattsImpedance of 16 ohms",BIZID005
Audio Technica ATH-CKF303 In-Ear Headphone (Brown),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 20-20,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 40 megawattsImpedance of 16 ohms",BIZID006
Audio Technica ATH-CKF303 In-Ear Headphone (Purple),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 20-20,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 40 megawattsImpedance of 16 ohms",BIZID007
