Word,Keyword,CategoryL1
inserts,Generic,ID
draft,Generic,ID
hooks,Generic,ID
kits,Generic,ID
gift,Generic,ID
glasses,Generic,ID
empty,Generic,ID
ornaments,Generic,ID
umbrella,Generic,ID
stickers,Generic,ID
products,Generic,ID
liners,Generic,ID
sprays,Generic,ID
rings,Generic,ID
bases,Generic,ID
shades,Generic,ID
linersnursery,Generic,ID
basesnursery,Generic,ID
sleep,Generic,ID
bins,Generic,ID
shoes,Generic,ID
christening,Generic,ID
boxesbaby,Generic,ID
rattles,Generic,ID
spoons,Generic,ID
archival,Generic,ID
binder,Generic,ID
hardware,Generic,ID
holdbacks,Generic,ID
rod,Generic,ID
dogs,Generic,ID
hinges,Generic,ID
swag,Generic,ID
rods,Generic,ID
combination,Generic,ID
dauphine,Generic,ID
double,Generic,ID
sash,Generic,ID
spring,Generic,ID
blindswindow,Generic,ID
balloon,Generic,ID
honeycomb,Generic,ID
horizontal,Generic,ID
pleated,Generic,ID
roller,Generic,ID
roman,Generic,ID
vertical,Generic,ID
curtainswindow,Generic,ID
panels,Generic,ID
scarves,Generic,ID
jabots,Generic,ID
shutters,Generic,ID
board,Generic,ID
louver,Specific,ID
panel,Generic,ID
tools,Generic,ID
paper,Generic,ID
tips,Generic,ID
stencils,Generic,ID
wrappers,Generic,ID
decals,Generic,ID
diploma,Generic,ID
carnation,Generic,ID
chrysanthemum,Generic,ID
daffodil,Generic,ID
daisy,Generic,ID
iris,Generic,ID
lily,Generic,ID
rose,Generic,ID
sunflower,Generic,ID
tulip,Generic,ID
plant,Generic,ID
sleeves,Generic,ID
removers,Generic,ID
stoppers,Generic,ID
packages,Generic,ID
dolls,Generic,ID
racks,Generic,ID
handles,Generic,ID
lampshadesnursery,Generic,ID
aids,Generic,ID
footprint,Generic,ID
page,Generic,ID
couplers,Generic,ID
tension,Generic,ID
blinds,Specific,ID
banners,Specific,ID
centerpieces,Specific,ID
wreathes,Generic,ID
makers,Generic,ID
draperies,Specific,ID
batten,Generic,ID
